id,title,type,status,year,season,genre,rating,totalEpisodes,source,siteUrl
animeav1-koko-wa-ore-ni-makasete-saki-ni-ike-to-itte-kara-10-nen-ga-tattara-densetsu-ni-natteita,Koko wa Ore ni Makasete Saki ni Ike to Itte kara 10-nen ga Tattara Densetsu ni Natteita.,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/koko-wa-ore-ni-makasete-saki-ni-ike-to-itte-kara-10-nen-ga-tattara-densetsu-ni-natteita
animeav1-suterare-seijo-no-isekai-gohan-tabi-kakure-skill-de-camping-car-wo-shoukan-shimashita,Suterare Seijo no Isekai Gohan Tabi: Kakure Skill de Camping Car wo Shoukan shimashita,TV,,,,fantasy,,,AnimeAV1,https://animeav1.com/media/suterare-seijo-no-isekai-gohan-tabi-kakure-skill-de-camping-car-wo-shoukan-shimashita
animeav1-tenkou-saki-no-seiso-karen-na-bishoujo-ga-mukashi-danshi-to-omotte-issho-ni-asonda-osananajimi-datta-ken,"Tenkou-saki no Seiso Karen na Bishoujo ga, Mukashi Danshi to Omotte Issho ni Asonda Osananajimi Datta Ken",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tenkou-saki-no-seiso-karen-na-bishoujo-ga-mukashi-danshi-to-omotte-issho-ni-asonda-osananajimi-datta-ken
animeav1-saikyou-degarashi-ouji-no-anyaku-teii-arasoi,Saikyou Degarashi Ouji no Anyaku Teii Arasoi,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/saikyou-degarashi-ouji-no-anyaku-teii-arasoi
animeav1-sayonara-lara,Sayonara Lara,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/sayonara-lara
animeav1-mushoku-tensei-iii-isekai-ittara-honki-dasu,Mushoku Tensei III: Isekai Ittara Honki Dasu,TV,,,,fantasy,,,AnimeAV1,https://animeav1.com/media/mushoku-tensei-iii-isekai-ittara-honki-dasu
animeav1-gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu-ii,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II",TV,,,,fantasy,,,AnimeAV1,https://animeav1.com/media/gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu-ii
animeav1-buchigire-reijou-wa-houfuku-wo-chikaimashita-madousho-no-chikara-de-sokoku-wo-tatakitsubushimasu,Buchigire Reijou wa Houfuku wo Chikaimashita. Madousho no Chikara de Sokoku wo Tatakitsubushimasu,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/buchigire-reijou-wa-houfuku-wo-chikaimashita-madousho-no-chikara-de-sokoku-wo-tatakitsubushimasu
animeav1-toumei-na-yoru-ni-kakeru-kimi-to-me-ni-mienai-koi-wo-shita,"Toumei na Yoru ni Kakeru Kimi to, Me ni Mienai Koi wo Shita.",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/toumei-na-yoru-ni-kakeru-kimi-to-me-ni-mienai-koi-wo-shita
animeav1-sekai-saikyou-no-kouei-meikyuukoku-no-shinjin-tansakusha,Sekai Saikyou no Kouei: Meikyuukoku no Shinjin Tansakusha,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/sekai-saikyou-no-kouei-meikyuukoku-no-shinjin-tansakusha
